,P10144,O75509,P09038,O75144,P12544,P18627,P15692,Q9UQV4,P09382,P22301,P14210,Q92583,P20718,P09601,Q13241,P05231,Q16790,O43927,P10147,P39900,O76036,O00182,P32970,P01127,P35968,P01133,Q9BQ51,P42701,P09237,P07585,P13500,P50591,P09341,Q15389,P26842,P48023,P05113,P29965,P10747,P01730,Q02763,Q01151,P49763,Q14116,O95727,Q9NP84,P48061,Q8WXI7,P43489
C29ZZ80MY.01,4.63521,7.16823,-0.5159,5.25066,6.98951,1.82629,8.42691,6.18046,7.12293,3.13165,9.21388,10.09689,4.18787,11.81799,7.09093,4.97965,4.04682,9.15004,7.81849,7.50168,3.21536,8.07324,4.13958,9.24288,8.4682,8.13996,2.16874,0.87764,11.57238,4.54227,11.88432,8.61574,7.24961,8.82516,7.80659,5.92583,3.31233,6.05063,0.87067,4.11795,7.81196,3.00447,7.60195,8.34266,5.2308,5.11033,-0.23087,2.15031,5.67647
C29ZE03YB.01,4.13558,7.41931,-0.33355,5.99979,7.16967,2.59511,8.13693,5.64068,7.33761,2.80465,9.68779,10.54662,4.63609,11.5401,6.46192,2.11532,3.89412,8.46563,6.20351,7.10346,3.841,8.59837,4.37359,10.05662,8.26106,9.79646,2.2329,1.50003,12.49623,4.72318,10.94758,8.42895,8.98367,10.11536,8.26848,6.20907,-1.50919,7.17214,1.70975,3.95506,7.97081,2.9949,8.559,9.13467,6.66289,5.42593,-0.23761,4.41153,6.23853
C29ZFFZT4.01,5.22076,7.28802,-0.78955,7.46667,6.25598,1.80824,7.71181,4.94347,7.24123,4.86318,8.62237,9.02169,3.77082,10.71789,6.34311,11.29895,4.33259,7.26637,12.62,5.61032,3.9208,7.9527,4.00743,10.1646,8.62043,8.91936,4.03183,0.73665,11.55052,4.81431,12.20823,8.26815,8.75854,9.46759,7.63281,6.41284,-0.00795,6.42547,0.04904,4.89923,7.73961,2.68184,8.22,8.26028,5.24338,5.42076,-0.29965,2.10749,5.92077
C29ZDAXC4.01,5.97459,7.23909,-0.90735,5.88361,7.23203,2.22674,8.05969,4.50232,7.41395,3.11816,9.58879,11.70619,4.8419,11.38015,5.52227,1.25469,4.31767,9.1848,6.32087,7.63971,4.11526,8.36567,4.74674,10.34195,8.14622,11.48824,2.13844,0.95634,12.32635,4.6999,11.35473,8.39667,9.33114,10.76995,7.97851,6.38263,-1.83677,8.52087,1.22363,4.41419,7.30244,3.06776,8.09442,8.93835,5.79722,5.72213,-0.36278,1.45189,6.20586
C29ZD50KT.01,5.99993,6.98053,-0.69429,5.59823,7.18338,1.90462,9.13253,4.46086,7.25183,3.86446,10.01715,10.26798,7.50448,11.28447,7.36422,11.48489,4.52295,8.94909,12.71801,6.48384,3.84797,8.31106,5.08616,10.40597,8.26848,11.4885,1.60277,1.65544,11.81078,4.39904,13.23228,8.56794,11.36216,10.7665,8.28225,6.64466,0.23954,8.80371,0.76936,4.05714,7.5983,3.11121,7.77135,8.60718,5.34458,5.43422,0.40374,1.93511,5.41509
C29Z4OOJB.01,5.49309,6.6997,-0.3479,5.33868,7.00802,2.42129,8.69136,5.8136,7.23484,3.63909,9.51334,10.11492,4.2133,11.35919,6.67951,11.78714,4.2679,8.86041,12.52343,8.69304,3.4594,8.54395,4.07488,9.8924,7.64869,9.40569,2.03698,2.0679,11.57246,4.36666,12.27589,8.87151,9.70624,9.50684,7.76853,6.00218,0.68596,6.44212,0.78711,3.80696,7.28966,3.30603,7.95345,9.37568,5.34879,5.31091,-0.42739,3.51857,5.98147
C29ZV88EM.01,4.59249,7.18296,-0.6119,5.73984,6.85065,1.99852,8.14593,5.27233,7.09961,2.51457,8.64145,11.59844,5.7086,12.01861,6.49531,8.93997,3.91463,9.15792,9.92869,7.33942,3.55948,8.02332,3.806,9.22439,8.16005,8.88909,1.61119,1.17546,12.10813,4.07878,11.20814,7.99852,8.08153,8.91215,7.56364,5.58608,-0.25103,4.96365,0.61005,3.50074,7.27741,2.69676,8.02053,8.83872,5.60671,5.10389,-0.33729,4.15584,5.88063
C29ZVUPPK.01,4.73351,7.24913,-0.746,7.95447,6.60758,1.75635,7.13409,5.83298,6.78197,2.64347,8.09756,9.80713,3.64337,10.10482,5.59495,1.03531,4.25055,7.97862,5.6072,6.16964,3.25525,7.80144,4.10748,9.79744,8.05656,9.12817,3.73413,1.61221,11.75745,4.73743,10.71322,8.36717,7.47841,9.4455,7.82787,6.26246,1.91043,6.25712,0.38888,4.64937,7.15328,2.81881,7.86001,8.59009,4.72713,4.91147,-0.49911,3.30122,5.74443
C29ZHMYCQ.01,8.3816,7.61772,-0.16593,5.1274,6.71089,1.81264,8.43125,5.43693,7.19999,4.41791,8.98483,11.60978,4.79121,10.9214,6.1509,6.73004,4.08719,10.59965,8.12445,7.39242,4.34365,8.82378,4.94572,10.45434,8.52025,9.84892,2.70488,1.92352,12.74047,4.64405,13.00301,8.12732,9.92526,9.97024,9.1459,6.18863,1.00171,7.47083,0.88988,4.43739,7.93909,3.0784,8.4551,9.63354,5.35236,5.60406,0.3593,5.1585,7.98553
C29Z5SNZH.01,5.87392,6.81609,-1.01818,5.59746,7.20695,1.659,8.7235,4.57609,7.14443,2.2735,9.31677,11.06701,5.83665,10.83574,6.11981,5.52408,3.61333,9.49145,8.68335,6.89304,3.7347,8.02115,3.11424,10.37142,8.00267,10.97292,1.5055,1.04284,12.04693,4.00884,10.08824,8.01996,9.19632,10.5145,7.84612,6.09504,-0.58334,8.26998,0.85022,3.85428,7.35557,2.68879,7.51226,8.74429,5.98086,4.55802,-0.54617,2.85151,5.82522
C29ZZ80Y4.01,5.30002,7.0605,-0.73431,5.16395,6.84944,1.58683,8.81881,5.76452,7.19963,2.9512,9.24521,11.91373,4.56416,11.99998,6.41142,8.7764,4.26576,9.03873,8.04216,7.65219,3.27667,7.96187,4.24414,10.23705,8.42927,10.02758,1.83697,0.67359,11.43709,4.38637,11.92093,8.10813,7.66455,9.87819,7.80544,5.6411,1.83679,7.15139,0.62176,3.72021,7.72042,2.89636,7.71189,8.03016,4.87339,5.49917,-0.33603,1.53814,5.59883
C29ZS2ML8.01,3.84928,6.65735,-0.9065,7.53391,6.53191,1.88885,7.98132,4.21715,6.90334,2.78079,8.80026,12.24449,3.68496,9.60431,5.60795,6.83156,4.14795,7.97077,8.96137,7.47665,3.2965,7.17525,3.84446,10.14143,8.043,9.07856,3.44688,-0.04253,10.95107,4.39654,11.52745,7.93086,7.84437,9.42403,7.74788,6.2742,-0.8223,6.16559,0.00609,4.24748,7.30005,2.40117,7.48199,7.93368,5.15088,4.34216,-0.2814,3.41778,5.1847
C29ZFFZ0Q.01,4.23022,7.15178,-0.7584,5.27098,5.86413,1.75577,7.87823,5.17969,6.69773,2.4283,7.83666,9.37868,3.28762,11.36578,5.88898,0.7235,3.60838,7.55698,5.2876,5.86352,3.94003,7.59132,3.11025,10.2592,8.34053,9.87072,1.86228,0.54239,11.36751,4.33915,10.18754,8.19036,8.15014,10.26858,7.67268,6.38253,-0.44655,8.11759,-0.01725,3.54755,7.462,2.09309,7.78457,8.3865,4.83681,5.0803,0.21033,1.56641,5.35574
C29ZQOG4N.01,4.9038,7.12533,-0.21731,7.99492,7.40235,2.44503,8.50678,4.36022,7.01314,3.31657,8.79263,11.65407,5.32826,10.31498,6.05481,9.20046,5.67411,8.71554,11.84887,6.67329,3.1358,7.56307,5.02993,10.27589,8.24013,9.90859,3.98343,1.314,11.90699,4.60394,11.63673,8.26963,8.17975,10.15491,8.44027,6.60235,0.72883,7.0991,0.50919,4.69754,7.45732,2.76376,7.78078,8.67965,5.78923,5.00577,-0.19327,3.9493,5.66616
C29ZPXKPU.01,4.79012,6.98782,-0.51452,6.32338,6.48741,1.74367,8.55888,4.77657,7.15677,2.04269,9.03534,11.18052,3.38163,11.01115,5.84965,8.47541,3.31914,8.23345,12.72488,7.17819,4.19267,7.71866,3.41871,10.22731,8.20937,9.76002,2.13011,1.0425,11.75358,4.3006,10.88516,8.45576,8.95367,9.91994,7.24481,6.28569,0.81928,8.26728,-0.01621,3.40915,7.38531,2.35985,8.2449,8.41148,4.85808,4.77265,-0.2728,2.53294,5.9856
