,P10144,O75509,P09038,O75144,P12544,P18627,P15692,Q9UQV4,P09382,P22301,P14210,Q92583,P20718,P09601,Q13241,P05231,Q16790,O43927,P10147,P39900,O76036,O00182,P32970,P01127,P35968,P01133,Q9BQ51,P42701,P09237,P07585,P13500,P50591,P09341,Q15389,P26842,P48023,P05113,P29965,P10747,P01730,Q02763,Q01151,P49763,Q14116,O95727,Q9NP84,P48061,Q8WXI7,P43489
C29Z18ZRL.01,4.91161,7.25482,-0.63184,5.09686,6.58902,2.81916,8.89846,5.20661,7.18574,3.84131,9.48039,12.43791,3.74703,11.29851,6.64339,7.13449,4.41827,10.29562,8.51612,7.54271,4.24523,8.25918,4.12231,10.22825,8.0886,9.79555,2.11504,1.1474,11.41871,4.39957,12.66145,7.48555,9.14987,9.90352,8.04547,6.5709,-0.68386,7.02822,0.41784,3.55518,7.43598,3.01981,8.31655,8.82885,6.40762,5.59788,-0.2031,2.75434,6.38366
C29ZQBEKX.01,4.80138,7.48085,-0.85145,6.27451,7.55518,5.29646,8.81771,4.85264,7.465,3.23921,9.53438,9.86389,5.7187,10.67953,6.85323,9.19319,3.81666,9.26362,10.55013,7.03575,4.27787,8.37912,4.35352,10.2065,8.58419,10.13529,2.39271,1.71095,12.13732,4.45742,13.6285,8.37622,10.24397,10.14815,8.44969,6.91219,-1.16524,7.3545,0.96653,4.39423,7.85375,3.33382,8.36276,9.20352,5.82352,5.212,0.08116,3.79778,6.27007
C29ZJ33J7.01,2.85291,7.1186,-0.51521,5.75374,6.06728,2.13397,8.18621,4.19556,6.71565,3.29925,9.15048,8.67202,3.08602,11.55822,4.49333,1.70047,4.30534,11.37576,6.06225,5.02698,2.78175,7.97048,3.49398,10.17935,8.05929,10.17481,2.19917,1.12343,11.66989,4.54268,9.9824,7.63325,8.69945,10.12388,8.47232,5.88797,-0.53376,7.20741,0.64744,3.58233,7.37531,1.9745,7.80023,8.67414,6.33312,4.99291,-0.26812,1.226,5.17829
C29Z7IZ46.01,6.39509,6.95281,-0.34322,5.93771,7.58392,2.06056,8.51248,4.5023,7.30295,2.55716,8.61048,10.48234,7.01515,11.29279,7.15365,2.44715,3.87397,8.16614,6.09171,6.83519,3.4455,8.18556,3.93353,10.3694,8.57822,10.31262,2.25152,1.18896,11.87704,4.62565,10.75574,8.61671,8.64924,10.79376,7.89169,5.52808,0.34046,6.29432,0.60914,3.98299,7.87959,2.81322,7.75674,8.4992,6.23401,4.57001,-0.13805,2.96695,5.3899
C29ZR131D.01,5.77301,7.2862,-0.42612,5.74418,7.7112,2.79078,7.88952,4.7347,6.31666,3.08694,8.77125,10.12315,5.58755,11.8315,7.48015,4.29236,4.46323,9.00708,7.65209,7.64232,4.18705,8.24182,3.94673,9.67903,7.83765,9.41603,1.76421,1.85294,11.94921,4.49059,10.94461,9.05662,9.37954,9.55366,7.92759,6.855,0.42211,7.0338,0.95746,4.23245,7.59693,3.09901,8.08501,10.25455,5.88688,5.30547,-0.20314,3.39748,6.03386
C29ZLV79Q.01,4.38678,6.96612,0.19397,8.13909,6.20763,1.58779,8.50371,3.92898,6.64083,4.60317,9.92974,10.43273,4.8004,9.37075,6.40637,2.64527,3.89244,10.41114,9.01812,6.27257,3.49198,7.7335,3.58546,10.34171,8.16948,9.34703,3.83696,0.98505,12.46805,4.59072,10.182,8.40398,7.47789,10.18982,7.97305,5.51901,1.68683,6.44109,0.38429,5.05045,7.44854,1.85302,7.91927,8.32033,5.65591,5.29575,-0.44034,5.15578,5.30219
C29ZNECXB.01,5.87548,7.39645,-0.1807,5.25616,6.83588,2.309,9.76697,6.0308,7.5143,6.74159,10.99319,11.31044,4.75978,10.86989,6.53185,9.54048,4.25601,10.81083,12.96197,8.27411,4.82181,8.59277,5.04151,10.60395,7.85673,10.69189,2.20368,1.77363,12.72834,4.55541,11.08849,8.88705,9.35962,10.51143,8.76113,5.58882,1.79063,8.45885,0.63674,3.76504,7.59591,2.51122,8.6406,9.89924,6.092,5.56384,0.02704,3.26935,7.67718
C29ZWWKL6.01,4.43841,7.0448,-0.29009,5.66346,7.38904,2.25973,7.91205,5.23808,6.74862,3.37871,7.92713,11.18496,4.62365,11.16279,6.51269,2.85232,4.73205,8.74383,7.00651,7.0587,3.9268,8.3267,3.96595,9.70011,8.11717,9.41396,1.74854,1.61213,11.88048,4.33124,10.38525,8.36225,8.04009,9.41336,7.88099,6.43387,-0.49156,6.77204,0.60328,3.91664,7.62861,2.80872,7.67574,8.83536,5.75946,5.42001,-0.12943,3.5279,5.75137
C29ZQT10W.01,3.95471,6.84444,-0.80227,5.03033,6.25598,1.76071,7.79166,4.42774,6.65842,2.95237,8.22941,12.04767,3.05182,10.84397,5.0766,2.98703,3.41713,8.93899,5.08085,6.62074,3.64789,7.30519,3.05821,10.15045,8.37908,9.9592,1.55629,0.25909,11.0001,4.064,10.48055,7.77348,8.23494,9.91987,7.93063,5.44112,-0.36897,6.99884,0.23976,3.34514,7.00146,2.14341,7.65144,8.09302,4.64026,5.75715,-0.13098,3.15764,5.7321
C29ZSD971.01,4.33036,7.38663,-0.38443,5.61635,6.24925,3.69085,7.78509,6.02978,6.82402,4.28922,8.75831,11.23319,3.74287,10.54824,5.49378,5.06799,4.03752,11.56808,5.78717,7.48828,4.33352,8.26608,3.72575,9.72561,8.3217,8.08541,2.11819,1.42926,11.9477,4.33898,10.08124,7.78652,8.73106,9.43431,8.36702,6.03287,-0.60232,5.91966,1.70251,3.8803,7.36566,3.14922,8.12205,8.96363,5.42296,5.36471,-0.07469,4.49195,7.91666
