Sample_ID,Cancer,O00182,O43927,O75144,O75509,O76036,O95727,P01127,P01133,P01730,P05113,P05231,P07585,P09038,P09237,P09341,P09382,P09601,P10144,P10147,P10747,P12544,P13500,P14210,P15692,P18627,P20718,P22301,P26842,P29965,P32970,P35968,P39900,P42701,P43489,P48023,P48061,P49763,P50591,Q01151,Q02763,Q13241,Q14116,Q15389,Q16790,Q8WXI7,Q92583,Q9BQ51,Q9NP84,Q9UQV4
PRC_15,PRC,0.35645,-0.05315,0.296,-0.13805,0.3273,,4.64635,5.53,0.6913,-2.63715,-0.30085,0.0665,1.7861,2.34345,5.6767,1.79295,0.91025,2.52325,-0.7727,0.7727,0.7323,,0.89155,1.36935,0.74745,1.70935,1.3361,-0.1839,5.1981,0.1809,0.70115,0.29685,0.9813,-0.36555,0.28665,1.5405,0.7884,1.03825,0.1392,0.4346,1.1092,0.67365,3.8546,0.28155,-0.1206,4.16675,0.68015,0.02065,0.0819
PRC_150,PRC,0.57605,0.63025,0.2913,0.54855,1.03845,2.61555,1.3213,4.02765,1.34825,0.7234,1.7381,0.0869,2.0846,1.6797,1.64665,0.7766,2.57335,1.09725,-0.28665,1.03755,1.20645,1.16965,0.40505,1.663,1.962,1.33905,2.76705,1.4806,3.3783,0.008,0.5245,1.09205,0.80655,0.9805,0.963,1.98685,1.17665,1.19215,0.2682,0.2499,1.9901,1.0508,1.3738,0.2614,-3.67035,1.38715,0.76365,0.2695,-0.12665
PRC_151,PRC,0.76085,-0.2394,-0.12225,0.4028,0.42795,0.12175,1.49445,3.3761,0.7517,0.93585,0.46845,0.37335,2.1168,2.0595,3.61475,1.40445,1.59065,0.4561,-0.83145,0.2019,0.3402,0.7341,0.59875,1.02715,0.4589,0.4001,-0.47175,0.5321,2.5974,-0.2228,0.51165,1.20835,0.54245,0.41425,-0.19465,1.09665,1.00135,0.92495,0.7734,0.09025,0.84305,0.28445,0.8529,0.71195,0.5098,2.02615,0.1415,1.1952,0.5782
PRC_152,PRC,0.83735,-0.0284,-0.35035,0.395,0.47955,1.04825,0.03215,1.9295,1.028,-0.54805,-0.07805,0.25935,0.4681,2.0983,1.21465,0.95965,1.62685,1.7038,-0.77945,0.3871,0.3998,1.0075,0.58115,0.70735,0.3631,1.2372,0.72555,0.8236,1.055,0.0113,0.39785,0.91635,-0.28355,0.75515,0.22115,1.66545,1.25695,0.91225,0.4327,0.28325,0.83835,-0.10655,0.0669,-0.14585,-1.0331,0.22765,-0.3381,1.208,0.341
PRC_153,PRC,2.1022,1.2157,-0.02315,1.1308,0.97575,,1.92795,3.1257,1.0141,-0.23195,2.0376,0.40855,2.8977,3.2104,2.95465,1.52615,2.2739,1.8366,0.93,1.4927,0.77185,,2.70515,1.342,1.3139,1.2163,1.76895,1.7884,2.70085,1.5391,0.4164,1.3746,1.0224,0.78485,-0.20645,1.5051,1.73045,0.5303,1.32705,0.6492,0.4478,1.31955,1.62735,1.2334,2.3025,2.12955,0.6201,1.5704,1.7713
PRC_154,PRC,1.35335,1.1898,,0.75365,1.78005,,3.77425,5.288,1.3737,,1.42605,0.50015,3.03075,3.5355,3.8388,2.1327,0.52115,2.41995,0.79715,,1.73105,,0.83075,2.395,,1.9998,,1.37175,4.39015,0.7436,-0.0652,3.24255,,1.58605,1.16965,,1.39335,0.76285,1.14605,0.3541,1.1404,-0.07595,3.0335,0.5431,,3.43415,,1.20565,1.009
PRC_155,PRC,0.68955,-0.127,-0.02155,0.1743,0.02055,,1.46545,0.4452,0.5726,,1.15335,0.22605,0.4411,2.1845,2.18215,0.74465,1.98775,-0.2753,-0.75205,0.2211,0.6186,,0.75645,0.90345,0.1401,1.0076,,0.5974,0.3273,0.2157,0.08205,1.00135,,-0.08045,-1.01215,,0.66125,1.89855,0.794,0.02165,1.10335,0.39505,1.3648,0.79195,0.5351,0.95695,0.5549,0.1815,-0.2003
PRC_156,PRC,0.45,-0.406,,0.2042,0.64755,0.7304,2.342,0.01695,0.45285,-0.83365,0.0667,0.24105,0.19895,1.90985,2.9362,0.1621,2.17865,0.49075,0.35545,0.2948,0.46675,1.69675,0.45035,1.1107,,1.3921,0.80175,1.02155,0.97055,0.08765,-0.3908,0.85225,0.648,0.7797,-0.7011,1.4835,0.9124,0.60775,0.7515,-0.36495,0.61195,-0.4417,2.0953,0.97045,,1.51135,,0.117,-0.01535
PRC_157,PRC,-0.20575,-0.0339,0.081,0.50315,0.20605,0.70205,3.4826,2.33885,0.6576,-1.07025,0.20495,0.28585,1.17735,2.27985,1.78955,0.19195,0.88925,0.0122,-1.08085,-0.21205,0.021,1.62825,0.27765,2.3276,0.16155,-0.41695,0.62935,0.4412,2.03205,0.26995,0.2891,0.7436,0.8134,0.17425,-0.2006,1.51105,0.66025,1.8349,0.3531,0.00935,-0.02125,-1.3958,3.77715,0.71565,-2.16605,2.28735,-0.1761,0.14795,0.3146
PRC_158,PRC,0.54555,-0.3136,0.23555,0.9217,0.6167,,3.79865,4.24245,0.90385,0.43055,-0.42665,,0.6581,,3.2707,1.2468,1.3093,0.2468,-0.2421,,1.4628,,0.54555,1.2475,1.09485,,0.41725,0.5015,3.09385,0.1606,0.22325,0.6002,0.0605,0.6051,-0.5515,2.3234,1.17635,1.0305,0.88665,0.58665,1.40895,-0.2422,1.34415,0.76785,-3.51235,3.2673,0.6374,0.4232,0.7726
