sample_id,P10144,O75509,P09038,O75144,P12544,P18627,P15692,Q9UQV4,P09382,P22301,P14210,Q92583,P20718,P09601,Q13241,P05231,Q16790,O43927,P10147,P39900,O76036,O00182,P32970,P01127,P35968,P01133,Q9BQ51,P42701,P09237,P07585,P13500,P50591,P09341,Q15389,P26842,P48023,P05113,P29965,P10747,P01730,Q02763,Q01151,P49763,Q14116,O95727,Q9NP84,P48061,Q8WXI7,P43489
R21043088,4.11713,7.15132,3.06879,4.99096,6.22754,1.91022,7.37761,3.41924,6.73174,2.0811,8.42765,9.95947,4.48533,9.89442,5.4631,2.03549,3.74352,7.3328,5.59935,7.69799,2.58702,7.42615,2.73451,10.3955,7.38352,9.39313,1.58722,1.23543,8.5085,3.51305,10.49985,7.47296,9.84641,8.69543,6.61283,5.7971,0.22449,7.02095,0.57665,3.04592,6.98,2.01305,6.76005,7.47075,4.59347,3.89116,0.64071,0.70104,4.75282
R21043090,3.8589,6.71707,1.63671,4.56647,5.48534,1.29741,7.74074,5.30925,6.22058,2.74437,8.84393,8.47058,4.196,9.54205,4.70906,5.55377,4.62404,7.26762,5.38439,8.31461,2.28653,7.35858,2.32635,9.01389,7.24672,7.85774,1.66945,1.17812,9.74833,3.48233,10.86111,6.56572,7.73633,7.2361,7.08973,4.14865,0.63909,5.53204,0.25091,2.97988,6.5431,2.12723,6.68812,7.64833,3.78754,2.77124,0.51742,1.09738,4.57293
R21043092,3.90217,6.56894,2.90086,4.50315,6.27102,1.58993,7.73956,2.68029,6.47532,2.21596,8.31997,9.54743,3.90311,10.87953,4.67931,2.5834,3.55266,7.66902,5.51796,8.08728,2.53356,7.09035,2.86448,9.92533,7.4644,8.86213,1.45027,0.90759,9.42785,3.08081,10.60801,7.42237,8.63523,8.38113,7.39832,5.47223,0.89928,6.41111,0.41854,3.39029,6.82353,1.74543,7.08961,7.79039,4.17414,3.47489,0.81985,0.70939,4.34861
R21043094,4.54071,7.15645,3.41788,5.09243,6.33141,1.56971,8.15132,4.5004,6.97495,3.00695,8.0317,9.66703,5.82847,11.24911,6.4325,2.7796,4.40094,10.00612,6.1652,8.85883,3.43268,7.9429,3.74175,10.11791,7.52981,9.35461,2.06361,1.62226,9.17374,3.06523,11.11049,7.35868,9.2881,9.10297,8.48053,5.2607,0.54912,7.11875,0.66803,3.34096,6.82273,2.67405,7.17497,8.16406,6.04642,3.46167,0.69147,3.12581,5.97885
R21043096,5.26951,7.14596,2.38909,4.78707,5.84265,2.03443,7.9453,5.38414,6.5782,2.83798,8.30591,9.33374,4.33037,9.68259,4.75335,3.08116,4.04997,8.71066,5.64397,11.39649,3.2391,7.55649,2.36087,9.6061,7.47156,8.1718,1.62654,1.21779,9.05718,3.5709,10.72593,7.47211,8.86414,7.79462,7.12681,5.74203,-0.03278,6.03643,0.56621,3.38223,7.03752,2.24519,7.36248,7.66717,4.11929,3.96179,0.94756,1.25754,5.64833
R21043098,5.11319,7.35582,2.89111,5.10925,5.63322,1.74271,8.61868,5.57237,7.00714,3.19589,8.33789,10.48842,4.80801,11.50785,5.43801,2.21417,4.18252,8.12661,6.43815,8.72505,2.78488,8.31448,3.05755,10.22624,7.33352,8.88068,1.86533,1.22637,9.3901,3.53558,11.12427,7.70529,9.60704,8.48448,7.60998,5.22693,0.4686,7.66312,0.66171,3.85801,7.06014,3.11624,7.21665,9.55382,4.47176,3.83425,0.93852,0.89232,5.21378
R21043100,6.23973,6.94866,2.51141,4.57766,6.29831,1.98541,8.53484,5.52583,6.31781,2.88408,9.10745,9.05951,4.98669,10.71362,5.08845,3.70197,3.83585,8.19503,7.77054,9.86658,2.80228,7.90657,2.56909,10.33655,7.41998,9.80874,1.40334,1.38962,9.25504,3.35094,11.33762,7.4334,9.36743,8.8609,7.38382,5.69215,1.19279,7.58033,0.38199,3.25205,7.13452,2.57823,6.86796,7.96953,4.05047,3.62786,0.94148,2.79839,4.88275
R21043102,4.64984,6.92276,3.46351,4.78515,6.38041,1.81667,8.71534,4.25233,7.17225,2.99246,8.47095,10.88725,5.19882,9.87194,5.16873,3.10178,3.90669,7.94057,5.9962,9.61278,2.62726,7.79426,2.96551,10.50277,7.65807,10.15143,2.06382,1.06537,9.3218,3.06178,10.99216,7.41194,9.3842,9.52162,7.1753,5.49949,2.98729,8.53376,0.51564,3.30228,7.65732,1.95247,6.92449,8.02736,4.32387,3.20053,0.97514,1.13457,4.684
R21043104,4.44994,7.60596,2.35255,5.68426,6.3099,1.83231,7.22782,4.3647,6.55003,3.05784,8.04425,9.34144,4.1264,10.23545,5.47377,2.4265,4.07955,8.81074,6.32828,6.32849,3.96601,7.79102,3.60437,10.15975,7.6408,8.45467,2.15324,1.50697,10.13679,3.42334,10.78036,7.60367,8.87638,7.25252,8.10996,5.88902,0.07299,6.33328,0.35792,3.72932,7.27137,2.53572,7.2173,7.57355,4.4185,3.71391,0.84247,3.77933,5.49323
R21043106,5.12229,7.06928,3.91737,4.75875,7.01423,1.84895,8.75515,4.69939,6.70396,3.02934,8.35261,10.3008,5.21229,9.76757,5.87286,3.76318,2.63658,8.57518,6.21453,8.08592,3.29394,7.53818,2.8441,10.4617,7.61238,9.75977,1.83792,1.68775,10.10918,3.11551,11.4134,7.74047,9.72174,9.17777,7.48778,6.28307,0.49397,7.76743,0.42437,3.62825,7.4263,2.48118,7.06022,7.95599,5.91478,3.50278,1.29311,0.12257,5.22233
R21043108,4.84497,7.20002,3.3856,5.01134,5.84189,1.93988,8.41537,4.9993,6.87151,3.09526,9.15086,11.2678,4.70403,10.95069,4.91424,3.71041,4.90078,9.29037,5.69933,6.74933,3.24974,7.61953,3.39621,10.62716,7.71741,10.87579,1.65601,1.37264,9.47471,3.51932,10.86462,7.67505,10.43017,9.80981,7.62465,5.50658,0.70399,8.34125,0.67219,3.11247,7.59552,2.69614,6.84501,8.92409,4.63911,3.7359,1.00409,2.45982,5.48552
R21043110,4.36384,6.7102,3.18647,4.50733,5.86598,1.27972,7.15217,3.53665,6.28144,1.75298,8.40812,10.53753,4.49622,10.24583,5.38376,2.26278,3.72505,7.31687,4.66952,7.71505,2.29865,6.93792,2.69856,10.03687,6.9415,8.91126,1.42162,1.01594,8.23971,2.97741,10.29878,7.16891,9.24097,8.10109,7.30958,5.42539,0.1345,6.6648,0.25554,2.86997,6.89381,1.77665,6.52775,7.98126,4.98645,2.90377,0.76468,0.8167,4.84461
R21043112,5.20667,7.09037,2.64998,4.91836,5.66318,1.54247,7.35124,3.57672,6.47072,7.28005,9.16706,9.75663,4.39503,10.85508,4.82262,1.642,5.77727,7.57634,5.40828,7.59145,2.88664,7.28044,3.05565,10.05944,6.90355,9.03018,1.64014,1.47317,8.22856,3.57983,10.7234,7.25781,8.99777,8.75386,8.03836,4.92424,0.91187,6.95431,0.36324,2.91809,7.01202,2.17612,7.04904,8.67151,4.36558,3.5894,0.67885,1.50598,4.86295
R21043114,4.83011,6.79766,3.00151,4.58556,6.50212,1.55857,8.11469,5.02998,6.34813,2.76075,8.68626,8.6694,4.90025,10.16354,5.40909,4.0174,3.59924,7.43922,5.84012,7.04876,3.0316,7.70654,3.18955,9.9992,7.31732,8.61336,1.30648,1.57026,8.22921,3.32441,10.64382,7.18526,8.73716,7.5518,7.18496,5.74456,0.42158,6.45822,0.55943,3.05273,7.1589,2.552,6.89863,7.58593,4.93117,3.10384,0.76071,2.60363,4.76718
R21043116,5.49134,6.89863,2.32909,4.33074,6.28161,2.03126,7.55005,4.36138,6.50693,2.51115,8.61008,9.66235,4.85019,10.00157,5.2257,2.81825,3.91591,7.98978,6.12723,7.22004,2.48007,7.45376,3.04124,10.18639,6.98131,9.91497,1.65282,1.33875,8.93844,2.98945,10.77077,7.26533,8.98298,8.70615,7.22276,5.6339,0.35942,6.88828,0.46853,3.44438,6.85484,1.97206,6.9223,7.52645,4.38985,3.57382,1.22773,0.40071,4.87229
R21043118,5.24174,6.95451,2.69644,4.75783,6.38794,1.73485,7.57838,4.57379,6.5701,2.16346,8.58288,9.87059,4.66346,10.05341,5.09155,2.2799,3.98477,7.55806,5.45134,9.67776,2.61011,6.78117,3.03948,9.99616,7.15498,9.55412,1.41167,1.43807,9.64596,3.46229,10.99283,7.38376,8.71007,8.6438,7.2556,5.27873,0.22769,6.71482,0.50805,3.07963,7.09683,2.17141,6.82326,7.3906,5.06366,3.2559,1.11048,1.04523,4.71343
R21043120,5.30589,7.36936,4.13349,5.25004,7.09141,2.57321,8.69645,4.75552,7.28865,3.14865,9.04937,11.37031,5.7048,10.19418,6.55903,3.23123,4.56564,8.44187,6.33535,11.5489,3.909,7.95103,3.1907,10.54291,7.9835,10.67101,2.17875,2.00694,10.54221,3.31776,10.96699,8.12238,9.94625,9.35727,8.31067,6.15521,0.40169,7.92274,0.76172,4.07036,7.43976,2.83244,7.68217,9.04961,6.03258,4.31337,1.01679,0.85962,6.145
R21043122,4.55857,7.16273,3.30856,5.05772,6.48229,2.06835,8.49332,6.27918,7.13841,2.74959,8.62144,11.15328,4.67286,10.25787,4.97765,2.58419,4.54346,7.29206,5.86825,8.35807,3.68242,7.7487,3.25441,10.12828,7.19303,10.15458,1.81966,1.65293,9.14215,3.57591,11.01698,7.57805,9.44609,9.36726,7.86925,5.0652,0.52134,7.30314,0.3999,3.50485,7.04348,2.67716,7.36456,8.1039,5.06434,3.79581,0.89635,0.96479,5.52416
R21043124,4.7009,7.44237,0.61507,5.20745,6.89639,1.7304,7.55735,5.07259,6.87964,2.311,8.61916,8.42364,5.76783,10.95492,6.12236,1.9354,5.15846,7.89589,5.54021,7.77729,3.36827,7.75266,3.65203,8.74469,7.79027,5.59595,1.75046,1.28178,9.81677,3.74075,11.38952,7.82589,6.27113,7.17681,7.76061,5.31916,0.68774,3.20068,0.40907,3.62706,7.66851,2.81344,7.72104,8.25824,5.03611,4.4761,0.75789,0.32792,5.91109
R21043128,4.87032,6.95714,3.26748,4.85106,6.0341,1.44974,8.6043,4.95606,7.08599,2.31802,8.62129,11.19356,5.22951,10.11601,5.16837,2.69009,4.10376,8.38521,5.71878,6.69642,2.06053,7.51361,2.95677,10.42286,7.61535,10.33676,1.75212,0.79102,9.65661,3.14889,10.87588,7.35233,9.7606,9.42431,6.85964,4.31436,6.33092,8.25549,0.45855,3.32592,7.45603,2.18613,6.79206,8.56331,4.66421,3.18345,0.82568,1.58138,4.52815
R21043130,4.1343,7.27381,3.39572,5.31577,6.37792,2.01149,7.10998,4.27036,6.81723,2.52964,8.30403,9.52503,3.65661,10.96486,5.21995,0.9408,3.91725,7.43987,6.05083,6.09857,2.97261,7.64729,3.32676,10.17572,7.41199,9.56564,1.52481,1.66896,8.29455,3.31911,10.70339,7.56258,9.45104,8.21011,7.89829,6.13085,0.23552,7.61803,0.46989,3.30849,7.03782,2.45382,6.94665,8.69631,5.59189,3.77588,1.04461,0.49318,4.83411
R21043134,5.18401,6.97426,3.38854,5.04441,6.19609,1.91372,7.92022,4.36679,6.70046,2.23113,8.65158,10.38891,5.67934,10.56193,6.17034,3.11314,4.10293,7.60148,5.89042,7.10312,3.18692,7.56302,3.04706,10.61191,7.65916,10.2231,1.7891,1.2126,9.4153,3.52291,10.86525,7.58782,9.40029,9.57808,7.49269,5.76715,0.96807,7.32027,0.28706,3.19966,7.20891,2.34428,6.73172,8.21819,5.02805,3.78037,1.0887,0.68739,4.69905
R21043138,4.16991,6.87184,2.72753,4.92329,6.48796,2.05163,8.01051,3.83951,6.75852,2.69119,8.18816,9.51926,5.35996,10.30064,5.95931,1.18765,4.19789,7.91782,5.01319,6.44767,2.05464,7.56756,3.19911,10.24821,7.62375,9.60953,1.77008,1.30469,9.93974,3.55852,10.47146,7.50245,9.29262,9.08695,7.71886,5.38604,2.09172,7.33998,0.39693,3.82881,6.95837,2.4361,6.73735,7.90275,5.60222,3.61588,1.00559,0.2438,4.64465
R21043140,4.8201,7.28011,0.71778,5.07322,6.29917,1.85123,7.33839,4.40378,6.246,3.09608,8.46973,8.41118,4.94352,10.49922,5.81163,2.15884,3.77163,7.15122,5.58092,8.01055,3.53359,7.55442,2.7133,8.98635,6.96755,7.41982,1.72166,1.50155,8.945,3.17816,10.30122,7.62641,8.12539,7.43959,7.9072,5.99411,0.88816,4.85763,0.54124,3.27303,6.77803,2.34337,7.0527,8.16445,5.36736,3.91962,0.64089,0.1475,5.44486
R21043142,4.54813,7.37837,1.57393,5.4345,6.35383,1.78927,6.99777,4.85248,6.73638,2.44026,8.1619,9.02144,5.39283,10.68163,5.68095,1.34725,4.11611,8.14517,5.51628,6.4205,3.07317,7.69886,3.1335,9.31853,7.25954,8.02902,1.96871,1.50594,9.33637,3.9744,10.48326,7.40108,8.82973,7.82683,7.69262,5.79408,0.36207,6.21246,0.70343,3.66939,7.74706,2.77743,6.90884,7.8941,5.31964,4.37516,1.01171,0.29303,5.22672
R21043144,4.50411,7.36689,1.36899,5.26405,5.94084,2.16812,7.59697,3.81074,6.64323,2.48309,8.01577,9.56898,4.36968,10.61921,5.14573,1.1817,3.58642,8.14829,5.14931,7.13153,2.69534,7.5972,2.60669,9.82674,7.24895,8.26454,1.96252,1.19681,9.96879,4.03888,10.40987,7.71421,8.35019,7.97093,7.17897,5.52002,0.09416,5.75226,0.51487,3.1292,7.04537,2.66352,7.04226,7.87664,5.05544,3.77808,0.95681,0.24225,5.20072
R21043146,5.22691,7.11828,2.74615,5.05656,6.58803,2.22211,7.70691,4.13787,7.02282,3.34822,8.50917,10.79948,4.94668,9.86236,5.16414,1.86975,4.77155,8.26857,5.54215,7.77372,2.85021,7.64584,3.31945,10.15375,7.13683,9.38276,1.73289,1.47654,9.53184,3.6558,10.64233,7.54448,8.99117,8.84048,7.72203,5.2986,-0.27027,7.27205,0.78174,3.35333,7.38999,2.34118,6.87639,7.95917,4.92665,3.70918,0.89471,0.298,5.24066
R21043148,3.52985,7.52897,1.4828,5.15093,6.08383,2.21569,8.08621,6.25221,6.99263,2.6397,8.37448,8.9823,3.48038,10.55428,4.7643,1.74184,3.83852,7.61887,6.12549,8.24717,3.54147,8.24478,3.04174,8.42967,7.56091,6.7626,1.89486,1.47686,9.94194,4.15427,11.10344,7.56762,7.92421,7.08526,7.837,5.14983,1.81673,5.00231,0.54888,3.79333,7.18324,3.22942,7.79248,9.29811,4.46309,4.93249,0.80921,1.02012,5.80308
R21043150,4.3985,6.93339,0.68153,4.63548,6.3079,1.75916,7.65139,3.91692,6.48249,2.57657,8.48485,7.60388,4.24434,10.58681,5.01973,2.4696,3.70442,7.91269,5.76699,7.84894,2.25995,7.85651,2.58998,9.03025,7.17588,7.6637,1.41904,1.33758,9.2901,3.34597,10.3896,7.01443,7.80116,7.31347,7.62838,5.03471,0.07325,4.80111,0.27633,3.49518,7.25444,2.27823,7.162,7.24935,4.54891,4.02533,0.83775,0.33592,4.95932
R21043152,3.91833,6.91583,1.85971,4.96294,5.92509,1.7799,8.13802,4.729,6.4116,2.33894,8.08278,10.34111,4.66611,10.6848,5.2394,1.47337,7.2436,8.26542,4.86699,6.50213,2.41665,7.58628,2.40619,9.92616,7.45028,8.41531,1.77859,0.86543,9.23856,3.37001,10.88138,7.51439,7.54266,8.7889,7.51648,5.15569,-0.28705,5.61223,0.35728,2.96426,7.44566,2.46432,6.76561,8.33936,4.7272,3.20018,0.90371,0.72068,5.0492
R21043154,5.47269,7.20792,2.9137,5.28422,6.36957,2.25575,8.24128,5.1991,6.86859,2.86991,8.25662,8.8428,5.24654,10.12656,5.44385,2.21392,5.42102,7.55562,5.33832,7.04556,3.09613,8.32068,3.61318,9.77054,7.5653,9.25212,1.8065,1.50008,9.64867,3.76366,10.92055,7.89636,9.71447,8.46019,7.21312,5.20889,0.67264,7.14397,0.59023,3.54309,7.12883,2.87265,7.22509,7.58626,5.06894,3.82556,0.79365,1.23169,5.79103
